#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   57529.85360068          2.92          0.29       305.466         5.936       331.534        95.995
   57529.85603463          2.91          3.31       108.192        32.458       169.631       122.422
   57529.86266193          2.83          0.27       209.525        53.995        70.805       143.919
   57529.86507876          3.20          0.20       321.628        42.591       319.557       132.665
   57529.86750069          2.96          0.61       273.524         9.652         8.499        99.664
   57529.86816828          2.78          0.49        77.068         4.686       205.183        94.699
   57529.87080036          3.61          0.86       138.692         8.540       144.504        98.464
   57529.87581131          3.42          0.28       130.697         8.256       154.308        98.189
   57529.87951043          2.99          1.16       341.847        34.991       304.519       125.078
   57529.87999242          3.32          0.28         2.841        20.500       283.680       110.591
   57529.88027343          3.04          0.65        58.580        31.573       227.998       121.615
   57529.88170420          2.88          1.21       150.190         0.213       136.950        90.127
   57529.88393959          3.77          0.66       287.873         0.309         0.070        90.343
   57529.88402050          5.15          0.20       287.155       -48.423         0.716        41.614
   57529.88799535          3.71          0.20       123.786        -9.771       165.641        80.169
   57529.88828559          3.07          0.77       167.755        13.563       121.756       103.469
   57529.88873365          5.03          0.21       137.771       -24.508       151.935        65.414
   57529.88884652          4.04          0.20       206.892         6.492        82.827        96.410
   57529.89153481          3.18          0.31       181.448        22.285       109.241       112.191
   57529.89385986          3.19          1.20        49.466        27.997       242.027       118.052
   57529.89481593          3.02          2.99        79.679        48.621       212.095       138.632
   57529.91004322          2.91          0.46        97.290        -1.379       200.086        88.602
   57529.91039736          5.08          0.36        50.211       -35.359       247.348        54.697
   57529.91071421          2.91          1.06       316.449         8.430       341.171        98.501
   57529.91443997          3.79          0.20       262.444       -15.115        36.482        74.878
   57529.91454972          3.47          0.20       160.310        40.493       138.663       130.404
   57529.92438566          3.10          0.49       157.569        36.069       144.955       125.980
   57529.92544163          2.76          0.64       297.906        26.113         5.059       116.160
   57529.92804800          4.61          0.20        24.832       -18.376       279.057        71.709
   57529.93651956          5.27          0.20        97.958       -33.856       209.038        56.123
   57529.93754789          2.98          1.12       328.459        53.377       338.900       143.456
   57529.93924317          2.74          0.94       219.018         8.456        88.897        98.384
   57529.94771166          2.84          0.37       124.060        29.037       186.868       118.980
   57529.94944098          3.46          0.28       105.457         6.274       206.129        96.243
   57529.95092862          4.41          0.36        33.443        -7.902       278.699        82.175
   57529.95534507          3.33          0.35       158.516         6.513       155.203        96.422
   57529.95634346          4.54          0.20        37.994       -17.639       276.115        72.434
   57529.96313133          2.90          1.02       154.468        17.932       162.053       107.845
   57529.96457190          2.94          0.56       124.889        20.708       192.139       110.650
   57529.96544193          3.61          1.38       206.466        -7.768       110.891        82.147
   57529.96868064          2.88          0.29       298.869        -3.829        19.660        86.220
   57529.97061380          2.95          0.50       284.752         9.918        34.494        99.945
   57529.97153828          3.04          0.78       172.718        20.397       146.845       110.302
   57529.97221756          3.13          1.08       353.471        24.045       326.348       114.138
   57529.97467767          3.12          0.41       203.307        34.024       117.418       123.938
   57529.97598148          2.97          0.20        70.606        -6.375       250.583        83.652
   57529.98082404          3.32          2.65       115.688        36.802       207.174       126.759
   57529.98440233          2.84          0.87       242.699        34.474        81.567       124.432
   57529.99172267          3.12          1.07       224.702         3.231       102.152        93.164
   57530.00260534          3.38          0.45       180.577        49.493       150.207       139.400
   57530.00593832          5.51          0.20       151.107       -48.322       180.930        41.588
   57530.00626780          2.53          1.23         4.704        57.403       327.390       147.494
   57530.00788168          4.76          0.40        84.072       -75.290       249.002        14.715
   57530.01215692          2.98          0.55       106.031        15.312       228.180       105.283
   57530.01349863          2.94          0.51       347.311        23.163       347.415       113.255
   57530.01780453          5.20          0.21       210.554       -54.901       125.635        35.014
   57530.02406170          5.00          0.20       143.315       -67.398       195.350        22.518
   57530.02877567          5.13          0.20         2.140       -64.440       338.108        25.660
   57530.03046300          2.98          0.35        76.221        41.353       264.543       131.374
   57530.03586329          2.89          0.49       131.291        58.845       211.384       148.784
   57530.04199792          3.55          0.42       278.227        10.722        66.790       100.736
   57530.04357461          2.90          2.46       166.697        44.219       178.854       134.128
   57530.04573640          2.88          1.26       340.893        12.646         5.468       102.735
   57530.04710694          4.83          0.20       189.732       -41.196       157.096        48.705
   57530.04975220          3.24          0.43       301.266        -5.455        46.526        84.596
   57530.05809925          5.34          0.43       253.199       -31.355        97.555        58.618
   57530.06886110          2.97          0.43         9.773        73.069       344.883       163.159
   57530.07407473          2.91          1.57        40.115        81.717       316.073       171.788
   57530.07490631          3.01          0.89       181.735        67.727       175.149       157.635
   57530.08591558          2.96          1.84       202.600        74.663       158.375       164.578
   57530.08833909          2.79          0.37       233.036         1.015       128.692        90.957
   57530.08917597          4.43          0.20        68.878       -18.673       293.192        71.360
   57530.09240699          2.85          0.57       220.348         0.672       142.848        90.598
   57530.09294477          2.94          0.27        80.367        15.643       283.007       105.659
   57530.09771095          2.99          0.27       277.894        51.940        87.334       141.950
   57530.10345193          3.02          1.26       286.991        34.649        80.254       124.674
   57530.10349541          5.11          0.30       127.954       -65.453       239.420        24.484
   57530.10607363          3.14          0.59       351.069         2.392        17.067        92.485
   57530.10747338          2.95          0.75        75.353        -1.854       293.295        88.170
   57530.10978481          2.89          0.42       236.111        50.175       133.449       140.121
   57530.11233845          4.52          0.20       138.370       -18.414       232.048        71.513
   57530.11607523          2.94          0.70       289.217        16.699        82.550       106.727
   57530.11964797          3.43          3.98       322.080        39.786        51.002       129.856
   57530.12399418          2.88          0.72        59.435        54.943       315.062       144.991
   57530.12747903          5.00          0.22       323.025       -60.277        52.734        29.803
   57530.13489894          5.17          0.21       239.535       -40.968       138.927        48.982
   57530.13638472          3.64          0.33        86.766         2.337       292.311        92.343
   57530.13708296          3.10          1.82        60.670         3.686       318.658        93.733
   57530.13763830          2.96          1.21       255.621        15.536       123.927       105.510
   57530.14142552          2.82          0.38       210.889        -3.057       169.999        86.860
   57530.15737388          3.40          0.36       331.672        -4.499        54.977        85.582
   57530.15834303          2.81          2.17       291.778        22.839        95.257       112.869
   57530.15970368          3.03          0.36       210.494         2.963       176.998        92.880
   57530.16313736          3.00          0.38       189.674        20.134       199.061       110.042
   57530.16511807          3.01          1.17       304.829        23.939        84.651       113.988
   57530.17196378          4.80          0.20       142.771       -25.754       249.178        64.169
   57530.17204711          4.07          0.20       117.508       -14.189       274.466        75.767
   57530.17528420          2.83          1.21        62.860         1.989       330.261        92.033
   57530.17568012          3.27          1.30        35.975        45.192       357.240       135.266
   57530.17680635          3.23          1.61       357.709        34.175        35.966       124.264
   57530.17929252          4.91          0.20       141.406       -34.670       253.202        55.255
   57530.18060767          3.06          0.81       115.077        66.737       279.773       156.703
   57530.18179861          5.06          0.36       199.565       -34.443       195.880        55.465
   57530.18274637          2.78          0.49       224.285        49.510       171.593       139.443
   57530.19161512          5.58          0.20       206.010       -37.462       192.968        52.450
