#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   56758.34784859          3.18          1.60       338.336         7.642        76.191        97.714
   56758.34803454          3.91          0.40        91.562        39.227       322.959       129.230
   56758.34823035          4.72          2.26        51.259       -10.261         3.413        79.789
   56758.34943163          2.99          0.51       126.715        46.711       288.302       136.667
   56758.35126271          2.77          0.53       339.815        37.324        75.965       127.395
   56758.35231723          2.92          0.73       237.587        32.135       178.581       122.085
   56758.35591927          2.89          1.43       189.988        37.673       227.446       127.592
   56758.35781065          3.33          1.06       237.245        30.430       180.904       120.380
   56758.35829692          5.84          0.27       170.690       -41.280       247.609        48.638
   56758.35861723          2.81          2.99       265.983        32.272       152.471       122.258
   56758.35968745          3.52          0.34        39.861        30.530        18.908       120.593
   56758.36213473          2.95          0.31       347.937        33.289        71.757       123.364
   56758.36220701          3.12          0.67       297.637        -3.016       122.062        87.017
   56758.36297473          2.75          0.61       141.696         5.604       278.275        95.541
   56758.36740306          2.79          1.01       329.874         4.237        91.710        94.303
   56758.37153216          5.08          0.62       295.010       -20.249       128.031        69.782
   56758.37234131          5.18          0.20         2.047       -35.596        61.319        54.483
   56758.38187448          4.67          0.20       225.675       -61.448       201.016        28.495
   56758.38417980          2.93          0.43       265.099        26.193       162.571       116.179
   56758.38510368          4.95          0.20       310.377       -73.085       117.390        16.968
   56758.38544834          3.12          3.45       103.390        45.576       324.623       135.563
   56758.38572779          2.73          0.48       319.683         3.437       108.515        93.494
   56758.40010959          3.06          0.78        12.440        48.924        60.936       139.000
   56758.40257578          3.08          0.43       154.452        25.620       279.801       115.550
   56758.40446257          5.10          0.33       173.638       -28.585       261.318        61.334
   56758.40805333          4.52          0.20       312.624       -28.608       123.597        61.444
   56758.40976741          2.86          1.17       292.026         7.819       144.854        97.843
   56758.41228574          3.06          2.56        19.345         3.434        58.439        93.507
   56758.41530174          2.97          3.33       133.928        70.712       304.767       160.664
   56758.41653394          3.00          1.05       122.364        28.056       316.912       118.017
   56758.42002631          5.67          1.99       162.375       -63.058       278.242        26.864
   56758.42110032          4.61          0.20       245.942       -10.882       195.002        79.081
   56758.42244808          3.20          0.76       251.933        67.677       189.686       157.646
   56758.42410939          3.25          0.53       211.034        15.235       231.018       105.164
   56758.43109771          3.15          0.30         7.951        45.569        76.619       135.644
   56758.43429543          2.93          0.39       130.157         5.522       315.560        95.472
   56758.43467853          2.72          1.46       261.121        15.622       184.760       105.604
   56758.43749417          4.38          0.20        51.321       -15.013        35.579        75.035
   56758.44478361          2.81          1.00        73.074         2.761        16.436        92.784
   56758.44721282          5.38          0.28       304.041       -31.720       146.308        58.322
   56758.45059524          2.90          0.29       254.542         5.160       197.070        95.134
   56758.45271192          2.86          0.50       329.494        49.484       122.932       139.544
   56758.45610719          4.56          0.30        77.520       -17.496        16.105        72.520
   56758.45794764          4.71          0.20       132.355       -78.658       322.193        11.286
   56758.46243809          2.37          1.14        60.410        16.398        35.458       106.437
   56783.58245767          2.86          0.69       330.568        14.436       193.291       104.501
   56783.58507850          2.96          0.36       217.654        23.077       307.157       113.018
   56783.58539560          2.92          0.69       206.406        12.464       318.507       102.398
   56783.58652617          5.01          0.34       161.779       -27.999         3.547        61.925
   56783.59133774          2.93          2.31        10.870         8.824       156.187        98.895
   56783.59134639          2.84          0.90       353.307        41.090       173.759       131.161
   56783.60310105          3.40          0.67       304.017        -0.117       227.283        89.927
   56783.60373220          3.17          1.72       236.523         5.288       295.006        95.249
   56783.60466372          2.78          0.79       230.114        68.161       301.888       158.115
   56783.60754480          2.71          1.08       107.291        10.084        65.605       100.057
   56783.60880802          3.65          0.20       292.640         3.336       240.723        93.368
   56783.60896883          3.61          0.92       156.405        16.288        17.005       106.217
   56783.60941286          3.60          0.26        13.450        -9.393       160.138        80.678
   56783.61251372          2.99          0.23       238.253        17.451       296.462       107.414
   56783.61286215          3.07          0.39       182.006         2.244       352.816        92.167
   56783.61411234          2.81          0.70        76.440        57.688        98.727       147.703
   56783.61565341          4.98          0.46       261.808       -24.124       273.986        65.870
   56783.61920847          2.87          0.53       175.164        26.613         1.947       116.537
   56783.61951455          2.96          0.34       348.242         7.354       188.988        97.427
   56783.61954370          4.63          0.20       291.356       -19.693       245.854        70.339
   56783.62303877          4.85          0.23       165.285       -68.265        13.243        21.656
   56783.62678088          4.34          0.20       149.022       -14.778        30.836        75.152
   56783.62690153          2.74          0.31       327.764        37.773       212.158       127.835
   56783.62722060          3.65          0.37        55.379         6.899       124.627        96.936
   56783.62999860          2.99          0.49        77.929        22.487       103.056       112.498
   56783.63057368          3.03          0.26         6.921        -0.708       174.302        89.365
   56783.63147047          2.83          0.60       359.637        50.021       181.905       140.093
   56783.63395728          2.78          0.68       292.837        18.654       249.624       108.685
   56783.63505193          2.73          0.48        43.629         8.843       139.202        98.893
   56783.64403928          3.04          1.90        24.013        68.888       161.987       158.952
   56783.64649645          2.80          0.53       181.582        39.725         5.386       129.651
