#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   56414.99675291          2.84          1.00       304.413         8.295         5.309        98.341
   56415.00100837          3.05          1.88       348.086        35.493       323.176       125.569
   56415.00256681          2.83          0.35       261.913        31.831        49.943       121.820
   56415.01276666          4.99          0.22       254.873       -72.399        60.356        17.586
   56415.01697284          3.06          4.05       175.473        51.894       141.530       141.815
   56415.02468534          2.99          0.33       130.475        38.163       189.275       128.110
   56415.02496909          2.87          0.63       240.342         2.684        79.555        92.645
   56415.03019602          4.01          0.69       261.950        13.584        59.851       103.573
   56415.03779542          2.99          1.76       103.329        16.862       221.179       106.841
   56415.04144237          3.15          0.39       256.259         2.673        69.586        92.655
   56415.04290594          2.87          0.82       316.844        -6.712         9.524        83.348
   56415.04345491          4.45          0.20       221.620       -24.491       104.920        65.448
   56415.04680438          2.97          0.89       225.763        -2.529       102.010        87.415
   56415.04889622          4.81          0.81        57.918       -21.693       270.652        68.346
   56415.05997463          3.03          0.40       347.111         0.196       345.427        90.274
   56415.06540462          2.95          0.72        82.877         6.461       251.614        96.468
   56415.06567273          3.27          0.48       201.718        25.127       132.884       115.052
   56415.07616425          4.82          0.32        89.718       -22.610       248.699        67.386
   56415.07796212          5.33          0.28        48.425       -62.356       290.732        27.696
   56415.08014225          3.34          0.31       231.238        12.041       108.585       101.990
   56415.08250763          3.09          0.66       336.889        22.525         3.795       112.596
   56415.08466106          2.91          0.55       252.921        32.868        88.570       122.843
   56415.08541499          3.04          0.96       148.606        14.239       193.101       104.169
   56415.08568983          2.98          0.61       188.096         7.502       153.719        97.421
   56415.08722279          3.07          0.57        86.776        12.217       255.582       102.220
   56415.08838034          3.32          0.66       235.769        16.100       107.034       106.053
   56415.09576515          5.83          1.61       292.768       -55.394        52.576        34.641
   56415.10225608          3.24          0.53        67.150        23.650       280.621       113.680
   56415.10451271          2.92          0.67       178.549         2.022       170.060        91.940
   56415.10601575          4.37          0.20       309.425       -19.039        39.708        71.012
   56415.11221132          3.51          0.59       168.863        -7.073       182.528        82.846
   56415.12384037          5.41          0.27       112.031       -39.595       243.624        50.370
   56415.12700326          2.91          0.93       151.139        18.337       205.578       108.267
   56415.12742510          2.71          2.10         7.825        47.384       349.054       137.461
   56415.12824936          3.00          0.77       344.180         7.622        13.007        97.697
   56415.13454668          3.15          1.01       191.885        26.232       167.572       116.152
   56415.14089684          2.56          2.43        62.908        46.489       298.772       136.527
   56415.14139660          3.61          1.80        89.733       -22.706       272.233        67.292
   56415.14562609          2.96          0.20        73.981        13.236       289.460       103.258
   56415.15589157          2.76          0.38       116.046        49.295       251.032       139.263
   56415.16071161          3.13          1.47       349.592         6.622        19.313        96.699
   56415.16171250          5.25          0.32       309.142       -40.000        60.066        50.051
   56415.16509584          5.21          0.20       216.682       -45.934       153.744        43.999
   56415.16572537          4.90          0.20       293.764       -37.095        76.888        52.938
   56415.17962942          3.17          0.51       142.292         5.626       233.431        95.563
   56415.18119028          3.24          0.30       331.799        15.086        44.506       105.152
   56415.18224771          3.21          0.52         8.795        49.448         7.874       139.523
   56415.18326062          2.87          0.38       286.373         9.559        90.677        99.577
   56415.18467642          2.93          1.15       194.775        40.514       182.785       130.437
   56415.18646469          3.77          0.20       143.602        -7.971       234.600        81.964
   56415.18912760          2.70          0.75       330.953        11.957        48.214       102.023
   56415.19275439          4.75          0.20        72.412       -33.418       308.110        56.606
   56415.19489171          2.90          0.78       280.092        41.789       101.212       131.796
   56415.19593159          2.95          0.47       251.619         0.743       129.991        90.714
   56415.20000465          5.48          0.20        18.090       -41.331         5.020        48.745
   56415.20330201          3.63          2.84       280.575        40.894       103.763       130.902
   56415.20440659          2.95          1.45        85.436        30.484       299.196       120.493
   56415.20527913          2.89          0.62       152.873        17.607       232.102       107.538
   56415.20587635          2.91          0.65       193.863        57.661       191.357       147.586
   56415.21122770          2.93          0.85       117.639        16.317       269.477       106.282
   56415.21270310          3.05          0.43        92.105        -2.405       295.570        87.593
   56415.21674733          3.17          2.04       239.565        40.970       149.614       130.925
   56415.23107462          2.65          1.81        59.972        47.476       334.263       137.518
   56415.23445600          3.05          0.61       199.027        -1.840       196.488        88.084
   56415.23493666          3.14          1.00       292.548        21.665       103.173       111.689
   56415.23565456          2.96          0.84       141.464        20.291       254.469       110.233
   56415.23780078          3.09          1.33        53.889        23.141       342.818       113.189
   56415.24138495          2.96          0.37       158.536        34.728       239.461       124.658
   56415.24200969          5.16          0.40       230.041       -69.145       168.040        20.802
   56415.24338134          3.15          0.63        14.132         4.592        24.613        94.667
   56415.24501676          2.81          4.74        26.386        12.550        12.945       102.619
   56415.24797312          3.09          0.84        18.547        49.814        21.835       139.885
   56415.24800456          2.77          0.59       327.281        67.443        73.242       157.501
   56415.24804497          3.05          0.41        61.325        36.117       339.059       126.157
   56415.25045257          2.23          0.84       272.324        24.617       129.003       114.613
   56415.26421904          3.17          0.64       342.652        31.711        63.632       121.780
   56415.26558920          4.88          0.37       132.131       -61.280       274.738        28.665
   56415.26898374          3.01          0.92        33.660         3.468        14.327        93.533
   56415.26918721          3.02          0.95       165.878        19.887       242.169       109.813
   56415.26994860          3.13          0.52       240.955        15.665       167.390       105.622
   56415.27543138          2.98          0.56       203.844        11.284       206.468       101.211
   56415.27973582          5.28          0.25        57.371       -54.068       354.590        35.975
   56415.28102957          3.07          0.63       304.477         7.979       107.864        98.017
   56415.28446242          3.00          0.51       182.186        52.384       231.379       142.310
   56415.28473284          5.60          0.32        89.491       -43.771       324.257        46.230
   56415.28932321          3.23          0.60       118.697         0.413       296.631        90.378
   56415.29089068          3.16          0.47       111.386         2.497       304.505        92.472
   56415.31432757          5.10          0.20       310.148       -38.041       114.157        52.007
   56415.31846062          4.57          0.20       318.667       -13.196       107.166        76.857
   56415.32199696          2.94          0.61       161.368        35.264       265.732       125.195
   56415.33433544          3.07          0.46         3.656        11.459        67.924       101.532
   56415.33513285          3.00          0.29       231.369        -7.557       200.481        82.392
   56415.33734840          2.94          1.99        11.333         3.113        61.334        93.185
   56415.33947197          2.97          0.73       173.002        14.296       260.421       104.222
   56415.33962036          2.65          1.48        31.799        11.816        41.682       101.879
   56415.34068329          3.03          0.45       171.173        14.376       262.687       104.303
   56415.34163480          3.68          0.97       335.512        14.137        98.709       104.200
   56415.34350050          2.83          1.64        17.772        43.962        57.100       134.031
   56415.34958108          5.26          0.20       248.448       -21.885       188.598        68.084
