#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   57160.05336522          4.79          0.20        60.189       -43.773       284.326        46.270
   57160.05601986          3.00          1.16       165.909         2.342       179.478        92.252
   57160.05661966          2.93          0.64       353.114        -0.411       352.494        89.678
   57160.05968873          3.35          0.28       186.493        -8.015       160.215        81.892
   57160.06498225          5.09          0.20        16.243       -56.264       332.428        33.825
   57160.06860073          2.99          1.13       279.567        10.091        70.375       100.106
   57160.07036865          5.27          1.37       293.460       -45.153        57.021        44.886
   57160.07146597          5.60          0.55        44.134       -34.239       306.881        55.826
   57160.07165876          3.06          0.38       148.706        11.274       202.319       101.196
   57160.07337517          5.19          0.20        95.164       -52.767       256.616        37.221
   57160.07719525          3.11          1.55       280.718        20.833        72.345       110.848
   57160.07892534          2.93          2.62       296.621        58.792        57.164       148.829
   57160.08075352          2.89          2.78       316.899         6.213        37.424        96.278
   57160.08911448          3.11          0.92        82.678        -0.355       274.663        89.655
   57160.09294975          3.13          1.65       241.269         7.047       117.455        97.002
   57160.09545881          3.23          1.13        83.998         1.248       275.630        91.256
   57160.09794449          4.89          0.26       101.327       -59.753       259.357        30.225
   57160.11818420          2.82          0.73        39.087        35.109       328.708       125.177
   57160.12550814          2.89          1.04        78.798        35.887       291.617       125.905
   57160.13021874          3.32          1.01       302.892        27.006        69.317       117.050
   57160.13266667          4.44          0.23         4.024       -80.393         9.084         9.701
   57160.13432100          2.67          0.25       179.666        12.420       193.985       102.330
   57160.13819250          4.37          0.29       276.804       -16.737        98.216        73.272
   57160.14014942          2.57          1.21       105.774        75.937       269.654       165.917
   57160.14223521          2.92          0.41       274.634         5.341       101.881        95.346
   57160.14239777          2.86          0.98       146.061        54.388       230.438       144.318
   57160.14327322          3.13          3.00       333.503        71.831        43.511       161.905
   57160.14529815          5.24          0.27       334.452       -56.356        43.106        33.728
   57160.14836095          4.61          0.26       131.171       -18.448       247.576        71.491
   57160.14937942          5.05          0.82       216.639       -31.874       162.413        58.051
   57160.15168397          4.68          0.20       325.022       -46.584        54.845        43.492
   57160.16044149          2.72          0.28        88.109         1.837       294.976        91.840
   57160.16432157          5.15          0.20       134.593       -24.689       249.922        65.246
   57160.16561006          2.74          0.40       342.042         9.586        42.913        99.668
   57160.16701208          3.99          0.20       141.699       -11.693       243.768        78.236
   57160.17049211          2.81          1.67       235.789        46.439       150.991       136.387
   57160.17457005          4.58          0.20        33.776       -37.999       354.452        52.077
   57160.17895896          2.62          0.59       238.462        10.761       151.315       100.712
   57160.18000448          3.09          1.20       256.481        12.399       133.678       102.375
   57160.18289295          2.62          1.18       290.505        55.333       100.799       145.357
   57160.18680775          4.97          0.20       220.885       -75.731       171.472        14.199
   57160.18720547          2.67          1.02       151.022        53.854       241.661       143.781
   57160.19322661          2.77          0.36        73.831        46.435       321.006       136.462
   57160.19346422          5.11          0.79       336.696       -58.539        58.249        31.545
   57160.19382044          2.89          1.38        76.016        38.616       319.056       128.640
