#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   56044.22526755          2.88          0.41       332.918        19.029        53.638       109.090
   56044.22717459          3.33          1.19       152.544        35.239       234.657       125.177
   56044.22722135          4.78          0.20       304.761       -21.405        82.461        68.634
   56044.23248328          3.04          2.06       107.718        43.404       281.364       133.387
   56044.23449229          3.20          1.80        87.282        46.844       302.517       136.852
   56044.23470846          2.78          0.55       108.514        27.896       281.400       117.877
   56044.23504638          3.14          1.08        32.733        12.949       357.336       103.011
   56044.23833458          3.01          0.22       293.658         7.936        97.608        97.960
   56044.24083551          4.42          0.20        17.250       -32.596        14.929        57.474
   56044.24423149          2.85          1.45       289.338        34.202       104.095       124.218
   56044.24472208          3.11          0.36        67.693        42.128       325.818       132.159
   56044.24502859          3.16          0.76       272.078         8.325       121.604        98.322
   56044.24531267          2.51          0.69        21.789        74.011        11.925       164.078
   56044.25234229          5.29          0.21       318.947       -48.062        77.313        41.993
   56044.25444493          5.51          1.19       193.116       -55.011       203.932        34.915
   56044.26516247          5.42          0.20       327.847       -30.687        73.073        59.373
   56044.26901421          2.91          0.29       334.249         0.929        68.087        90.991
   56044.27008738          3.50          0.95        85.854         8.873       316.859        98.881
   56044.27495394          5.52          0.24       176.663       -30.959       227.815        58.966
   56044.27533907          4.97          0.20       286.981       -53.279       117.539        36.741
   56044.28051890          3.09          1.72        48.793         8.787       357.691        98.836
   56044.28108455          4.74          0.20       346.452       -13.390        60.237        76.678
   56044.29041609          3.08          2.04       264.130        15.759       145.945       105.745
   56044.29320111          4.94          0.20       220.736       -33.019       190.294        56.923
   56044.29416485          3.07          1.16       347.289        42.986        64.146       133.051
   56044.29628663          4.42          0.29        81.880       -13.517       330.319        76.495
   56044.29695312          2.65          0.99       198.901        18.462       213.519       108.392
   56044.29921216          4.87          0.20        94.583       -47.662       318.734        42.332
   56044.29954706          3.21          1.45        39.604        49.609        13.710       139.665
   56044.30017273          3.24          0.31       109.229        -5.043       304.360        84.936
   56044.30447434          2.62          0.64       169.067         1.620       246.063        91.549
   56044.30460162          5.13          0.29        57.191       -23.435       358.019        66.605
   56044.30943601          2.68          0.52       306.853        21.730       110.096       111.766
   56044.31281928          3.25          1.37        69.323        29.690       348.792       119.719
   56044.31865604          5.16          0.28       261.926       -49.861       158.240        40.126
   56044.31987527          3.64          0.79       218.993        10.940       201.703       100.881
   56044.32065462          3.02          0.73       244.291        -7.117       176.672        82.847
   56044.32143600          5.06          0.20       261.920       -27.630       159.296        62.356
